🐼思牧分享👉港澳,#genre#
公视3台,http://154.204.178.8:345/132.php?id=pts-3
公视台语台,http://154.204.178.8:345/132.php?id=pts-ty
靖天综合台,http://154.204.178.8:345/132.php?id=jtzh
靖天日本台,http://154.204.178.8:345/132.php?id=jtrb
客家电视台,http://154.204.178.8:345/132.php?id=hakkatv
大爱一台,http://154.204.178.8:345/132.php?id=daai1
大爱二台,http://154.204.178.8:345/132.php?id=daai2
ARIRANG 阿里郎频道,http://154.204.178.8:345/132.php?id=arirang

中天新闻,http://154.204.178.8:345/132.php?id=cti-news
TVBS 新闻台,http://154.204.178.8:345/132.php?id=tvbs-news
TVBS HD,http://154.204.178.8:345/132.php?id=tvbs-hd
东森新闻,http://154.204.178.8:345/132.php?id=ebc-news
东森财经新闻,http://154.204.178.8:345/132.php?id=ebc-finance
寰宇新闻台,http://154.204.178.8:345/132.php?id=global-news
寰宇财经台,http://154.204.178.8:345/132.php?id=global-finance
寰宇新闻台湾台,http://154.204.178.8:345/132.php?id=global-news-tw
壹新闻 HD,http://154.204.178.8:345/132.php?id=nexttv
三立新闻,http://154.204.178.8:345/132.php?id=settv-news
三立iNews,http://154.204.178.8:345/132.php?id=settv-inews
中视新闻,http://154.204.178.8:345/132.php?id=ctv-news
非凡新闻,http://154.204.178.8:345/132.php?id=unique-business-news
年代新闻,http://154.204.178.8:345/132.php?id=era-news
民视新闻台,http://154.204.178.8:345/132.php?id=ftv-news
台视新闻,http://154.204.178.8:345/132.php?id=ttv-news
镜电视新闻台,http://154.204.178.8:345/132.php?id=mnews
华视新闻,http://154.204.178.8:345/132.php?id=cts-news
半岛国际新闻台,http://154.204.178.8:345/132.php?id=aljazeera
SBN 全球财经台,http://154.204.178.8:345/132.php?id=sbn
靖天资讯台,http://154.204.178.8:345/132.php?id=jtzx

纬来电影台,http://154.204.178.8:345/132.php?id=videoland-movie
纬来戏剧,http://154.204.178.8:345/132.php?id=videoland-drama
TVBS综艺台,http://154.204.178.8:345/132.php?id=tvbs-zongyi
TVBS台剧台,http://154.204.178.8:345/132.php?id=tvbs-taiju
龙祥电影台,http://154.204.178.8:345/132.php?id=lstime
龙华电影台,http://154.204.178.8:345/132.php?id=ltv-movies
龙华戏剧台,http://154.204.178.8:345/132.php?id=ltv-xiju
龙华日韩台,http://154.204.178.8:345/132.php?id=ltv-rihan
东森电影,http://154.204.178.8:345/132.php?id=ebc-movie
东森戏剧,http://154.204.178.8:345/132.php?id=ebc-drama
东森洋片,http://154.204.178.8:345/132.php?id=ebc-emovie
八大精彩台,http://154.204.178.8:345/132.php?id=gtv-jct
八大戏剧,http://154.204.178.8:345/132.php?id=gtv-41
八大娱乐,http://154.204.178.8:345/132.php?id=gtv-86
八大综艺,http://154.204.178.8:345/132.php?id=grt
采昌影剧台,http://154.204.178.8:345/132.php?id=caichang
美亚电影台,http://154.204.178.8:345/132.php?id=meiah-movies
猪哥亮歌厅秀,http://154.204.178.8:345/132.php?id=zglgtx
民视综艺,http://154.204.178.8:345/132.php?id=ftv-reality
民视影剧,http://154.204.178.8:345/132.php?id=ftv-drama
三立都会台,http://154.204.178.8:345/132.php?id=settv-city
三立戏剧台,http://154.204.178.8:345/132.php?id=settv-drama
中视经典台,http://154.204.178.8:345/132.php?id=ctv-classic
中天娱乐,http://154.204.178.8:345/132.php?id=cti-yule
靖洋戏剧台,http://154.204.178.8:345/132.php?id=jyxj
靖天映画,http://154.204.178.8:345/132.php?id=jtyh
靖天电影台,http://154.204.178.8:345/132.php?id=jtdy
靖天戏剧台,http://154.204.178.8:345/132.php?id=jtxjt
韩国娱乐台 KMTV,http://154.204.178.8:345/132.php?id=kmtv
公视戏剧,http://154.204.178.8:345/132.php?id=gsxj
影迷数位纪实台,http://154.204.178.8:345/132.php?id=ymswjst
影迷数字电影台,http://154.204.178.8:345/132.php?id=fans-cinema
视纳华仁纪实频道,http://154.204.178.8:345/132.php?id=cnex
MTV Live HD 频道,http://154.204.178.8:345/132.php?id=mtv
ELTA 娱乐台,http://154.204.178.8:345/132.php?id=elta-ylt

Channel 5,http://154.204.178.8:345/132.php?id=channel-5
Channel 8,http://154.204.178.8:345/132.php?id=channel8
Channel U,http://154.204.178.8:345/132.php?id=channel-u
8TV,http://154.204.178.8:345/132.php?id=8tv
TV9,http://154.204.178.8:345/132.php?id=tv9
CM+,http://154.204.178.8:345/132.php?id=cm-plus
E乐,http://154.204.178.8:345/132.php?id=singtel-tv
TV1,http://154.204.178.8:345/132.php?id=tv1-my
TV2,http://154.204.178.8:345/132.php?id=tv2-my
TV3,http://154.204.178.8:345/132.php?id=tv3-my
ChannelNewsAsia,http://154.204.178.8:345/132.php?id=channelnewsasia
OKEY,http://154.204.178.8:345/132.php?id=okey
TVB Magic,http://154.204.178.8:345/132.php?id=tvb-magic
tvN Movies,http://154.204.178.8:345/132.php?id=tvn-movies
AXN,http://154.204.178.8:345/132.php?id=axn
TV Alhijrah,http://154.204.178.8:345/132.php?id=tv-alhijrah
ColorsHindi,http://154.204.178.8:345/132.php?id=colorshindi
TVS,http://154.204.178.8:345/132.php?id=tvs
tvN,http://154.204.178.8:345/132.php?id=tvn
BeritaRTM,http://154.204.178.8:345/132.php?id=beritartm
SukanRTM,http://154.204.178.8:345/132.php?id=sukanrtm
HITSMovies,http://154.204.178.8:345/132.php?id=hitsmovies
ShowCase,http://154.204.178.8:345/132.php?id=showcase
BBCEarth,http://154.204.178.8:345/132.php?id=bbcearth
Mediacorp Suria,http://154.204.178.8:345/132.php?id=mediacorp-suria
Mediacorp Vasantham,http://154.204.178.8:345/132.php?id=mediacorp-vasantham
Gem,http://154.204.178.8:345/132.php?id=gem
GlobalTrekker,http://154.204.178.8:345/132.php?id=globaltrekker
DramaSangat,http://154.204.178.8:345/132.php?id=dramasangat
SunTV,http://154.204.178.8:345/132.php?id=suntv
SunMusic,http://154.204.178.8:345/132.php?id=sunmusic
SunNews,http://154.204.178.8:345/132.php?id=sunnews
AwesomeTV,http://154.204.178.8:345/132.php?id=awesometv
DidikTV7,http://154.204.178.8:345/132.php?id=didiktv7
Adithya,http://154.204.178.8:345/132.php?id=adithya
KTVHD,http://154.204.178.8:345/132.php?id=ktvhd
SunLife,http://154.204.178.8:345/132.php?id=sunlife
StarVijay,http://154.204.178.8:345/132.php?id=starvijay
ColorsTamil,http://154.204.178.8:345/132.php?id=colorstamil
ZeeTamil,http://154.204.178.8:345/132.php?id=zeetamil
ZeeCinemaHD,http://154.204.178.8:345/132.php?id=zeecinemahd
Boo,http://154.204.178.8:345/132.php?id=boo
MTVLive,http://154.204.178.8:345/132.php?id=mtvlive
Bernama,http://154.204.178.8:345/132.php?id=bernama
Moonbug,http://154.204.178.8:345/132.php?id=moonbug

Hub都会,http://154.204.178.8:345/132.php?id=HubECity
Hub娱家,http://154.204.178.8:345/132.php?id=HubVVDrama
HubSports 1,http://154.204.178.8:345/132.php?id=hubsports1
HubSports2,http://154.204.178.8:345/132.php?id=hubsports2
HubSports3,http://154.204.178.8:345/132.php?id=hubsports3
HubSport4,http://154.204.178.8:345/132.php?id=hubsports4
HubSports Plus,http://154.204.178.8:345/132.php?id=hubsports-plus
Hub Premier 1,http://154.204.178.8:345/132.php?id=hubpremier1
HubPremier2,http://154.204.178.8:345/132.php?id=hubpremier2
HubPremier3,http://154.204.178.8:345/132.php?id=hubpremier3
HubPremier 4,http://154.204.178.8:345/132.php?id=hubpremier4
HubPremier 5,http://154.204.178.8:345/132.php?id=hubpremier5
Hub Sensasi,http://154.204.178.8:345/132.php?id=hub-sensasi
tvn HD,http://154.204.178.8:345/132.php?id=tvnhd
AstroWarna Hub版,http://154.204.178.8:345/132.php?id=astro-warna-hub
ONEMalay,http://154.204.178.8:345/132.php?id=one-malay

Astro AEC,http://154.204.178.8:345/132.php?id=astro-aec
Astro 欢喜台,http://154.204.178.8:345/132.php?id=astro-huaheedai
Astro SuperSport,http://154.204.178.8:345/132.php?id=super-sports1
Astro SuperSport 2,http://154.204.178.8:345/132.php?id=super-sports2
Astro SuperSport 3,http://154.204.178.8:345/132.php?id=super-sports3
Astro SuperSport 4,http://154.204.178.8:345/132.php?id=super-sports4
Arena Bola,http://154.204.178.8:345/132.php?id=arena-bola
Arena Bola2,http://154.204.178.8:345/132.php?id=arena-bola2
Astro 爱奇艺,http://154.204.178.8:345/132.php?id=astro-iqiyi
Astro AOD 311 国语,http://154.204.178.8:345/132.php?id=astro-aod
Astro AOD 311 粤语,http://154.204.178.8:345/132.php?id=astro-aod-311-hk
Astro QJ,http://154.204.178.8:345/132.php?id=astro-quanjia
Astro Awani,http://154.204.178.8:345/132.php?id=astro-awani
Astro Arena HD,http://154.204.178.8:345/132.php?id=astro-arena-hd
Astro Arena 2,http://154.204.178.8:345/132.php?id=astro-arena2
Astro Citra,http://154.204.178.8:345/132.php?id=astro-citra
Astro Prima,http://154.204.178.8:345/132.php?id=astro-prima
Astro Aura,http://154.204.178.8:345/132.php?id=astro-aura
Astro RIA,http://154.204.178.8:345/132.php?id=astro-ria
Astro ONE,http://154.204.178.8:345/132.php?id=astro-one
AstroPremier,http://154.204.178.8:345/132.php?id=astropremier
Astro Ceria,http://154.204.178.8:345/132.php?id=astro-ceria
Astro Vaanavil,http://154.204.178.8:345/132.php?id=astro-vaanavil
Astro Vinmeen,http://154.204.178.8:345/132.php?id=astro-vinmeen
Astro Warna,http://154.204.178.8:345/132.php?id=astro-warna
Astro Vellithirai,http://154.204.178.8:345/132.php?id=astro-vellithirai
Astro Rania,http://154.204.178.8:345/132.php?id=astro-rania
Astro Oasis,http://154.204.178.8:345/132.php?id=astro-oasis
Astro TUTOR TV,http://154.204.178.8:345/132.php?id=astro-tutor-tv
Astro GolfChannel,http://154.204.178.8:345/132.php?id=astro-golfchannel

beIN Sports,http://154.204.178.8:345/132.php?id=beinsports
beIN Sports 2,http://154.204.178.8:345/132.php?id=beinsports2
beIN Sports 3,http://154.204.178.8:345/132.php?id=beinsports3
ELTA 体育-1,http://154.204.178.8:345/132.php?id=elta-sport1
ELTA 体育-2,http://154.204.178.8:345/132.php?id=elta-sport2
ELTA 体育-3,http://154.204.178.8:345/132.php?id=elta-sport3
ELTA体育4台,http://154.204.178.8:345/132.php?id=elta-sport4
博斯网球,http://154.204.178.8:345/132.php?id=sportcast-tennis
博斯运动-1,http://154.204.178.8:345/132.php?id=sportcast1
博斯运动-2,http://154.204.178.8:345/132.php?id=sportcast2
博斯无限,http://154.204.178.8:345/132.php?id=sportcast-wx
博斯高球-1,http://154.204.178.8:345/132.php?id=sportcast-golf1
博斯高球-2,http://154.204.178.8:345/132.php?id=sportcast-golf2
博斯魅力,http://154.204.178.8:345/132.php?id=sportcast-meili
ESPN,http://154.204.178.8:345/132.php?id=espn
ESPN 2,http://154.204.178.8:345/132.php?id=espn2
ESPN 3,http://154.204.178.8:345/132.php?id=espn3
ESPN 4,http://154.204.178.8:345/132.php?id=espn4
myTV SUPER直播足球1台,http://154.204.178.8:345/132.php?id=mytv-super-soccer1
myTV SUPER直播足球2台,http://154.204.178.8:345/132.php?id=mytv-super-soccer2
myTV SUPER直播足球3台,http://154.204.178.8:345/132.php?id=mytv-super-soccer3
myTV SUPER直播足球4台,http://154.204.178.8:345/132.php?id=mytv-super-soccer4
myTV SUPER 18,http://154.204.178.8:345/132.php?id=mytvsuper-18
纬来体育,http://154.204.178.8:345/132.php?id=videoland-sport
NBA,http://154.204.178.8:345/132.php?id=nba
WWE,http://154.204.178.8:345/132.php?id=wwe
DAZN 1,http://154.204.178.8:345/132.php?id=eleven-sport1
DAZN 2,http://154.204.178.8:345/132.php?id=eleven-sport2
Eurosports-1,http://154.204.178.8:345/132.php?id=eurosports-1
SPOTV,http://154.204.178.8:345/132.php?id=spotv
SPOTV-2,http://154.204.178.8:345/132.php?id=spotv2
时尚运动 X,http://154.204.178.8:345/132.php?id=ssydx
GINX Esports TV,http://154.204.178.8:345/132.php?id=ginx-esports
Tech Storm,http://154.204.178.8:345/132.php?id=tech-storm
TRACE Sport Stars,http://154.204.178.8:345/132.php?id=trace-sport-stars
W-Sport,http://154.204.178.8:345/132.php?id=w-sport
PremierSports,http://154.204.178.8:345/132.php?id=premiersports
智林体育台,http://154.204.178.8:345/132.php?id=zl-sports

新时代电视,http://154.204.178.8:345/132.php?id=fairchildtv
新时代电视二台,http://154.204.178.8:345/132.php?id=fairchildtv2
城市电视,http://154.204.178.8:345/132.php?id=talentvisiontv
HBO HD,http://154.204.178.8:345/132.php?id=hbo-hd
HBO Hits HD,http://154.204.178.8:345/132.php?id=hbo-hits-hd
HBO Family HD,http://154.204.178.8:345/132.php?id=hbo-family
HBO Signature HD,http://154.204.178.8:345/132.php?id=hbo-signature
Cinemax,http://154.204.178.8:345/132.php?id=cinemax
CNN International,http://154.204.178.8:345/132.php?id=cnn-international
好莱坞电影,http://154.204.178.8:345/132.php?id=hollywood-movie
ROCK Action,http://154.204.178.8:345/132.php?id=rock-action
ROCK Entertainment,http://154.204.178.8:345/132.php?id=rock-entertaiment
Bloomberg,http://154.204.178.8:345/132.php?id=bloomberg
amc 最爱电影,http://154.204.178.8:345/132.php?id=amc-movie
美国中文电视,http://154.204.178.8:345/132.php?id=sinovision
Lifetime 娱乐频道,http://154.204.178.8:345/132.php?id=lifetime
HLN,http://154.204.178.8:345/132.php?id=cnn-hln
fun 探索娱乐台,http://154.204.178.8:345/132.php?id=festival4k
Euronews,http://154.204.178.8:345/132.php?id=euronews
MyCinema Europe HD,http://154.204.178.8:345/132.php?id=mycinema-europe
VOA 美国之音,http://154.204.178.8:345/132.php?id=voa
DW 德国之声,http://154.204.178.8:345/132.php?id=dw
CNN,http://154.204.178.8:345/132.php?id=cnn
ABC News,http://154.204.178.8:345/132.php?id=abc-news
BBC World News,http://154.204.178.8:345/132.php?id=bbc-world-news
CNBC,http://154.204.178.8:345/132.php?id=cnbc

CCTV-1 综合,http://154.204.178.8:345/132.php?id=cctv1
CCTV-2 财经,http://154.204.178.8:345/132.php?id=cctv2
CCTV-3 综艺,http://154.204.178.8:345/132.php?id=cctv3
CCTV-4 中文国际,http://154.204.178.8:345/132.php?id=cctv4
CCTV-5 体育,http://154.204.178.8:345/132.php?id=cctv5
CCTV-5+ 体育赛事,http://154.204.178.8:345/132.php?id=cctv5plus
CCTV-6 电影,http://154.204.178.8:345/132.php?id=cctv6
CCTV-7 国防军事,http://154.204.178.8:345/132.php?id=cctv7
CCTV-8 电视剧,http://154.204.178.8:345/132.php?id=cctv8
CCTV-9 纪录,http://154.204.178.8:345/132.php?id=cctv9
CCTV-10 科教,http://154.204.178.8:345/132.php?id=cctv10
CCTV-11 戏曲,http://154.204.178.8:345/132.php?id=cctv11
CCTV-12 社会与法,http://154.204.178.8:345/132.php?id=cctv12
CCTV-13 新闻,http://154.204.178.8:345/132.php?id=cctv13
CCTV-14 少儿,http://154.204.178.8:345/132.php?id=cctv14
CCTV-15 音乐,http://154.204.178.8:345/132.php?id=cctv15
CCTV-16 奥林匹克,http://154.204.178.8:345/132.php?id=cctv16
CCTV-17 农业农村,http://154.204.178.8:345/132.php?id=cctv17
CHC家庭影院,http://154.204.178.8:345/132.php?id=chc-jtyy
CHC动作电影,http://154.204.178.8:345/132.php?id=chc-dzdy
CHC高清电影,http://154.204.178.8:345/132.php?id=chc-gqdy
重温经典,http://154.204.178.8:345/132.php?id=cwjd

CCTV1测试,http://154.204.178.8:345/132.php?id=testcctv1
CCTV2测试,http://154.204.178.8:345/132.php?id=testcctv2
CCTV3测试,http://154.204.178.8:345/132.php?id=testcctv3
CCTV4测试,http://154.204.178.8:345/132.php?id=testcctv4
CCTV5测试,http://154.204.178.8:345/132.php?id=testcctv5
Astro AEC测试,http://154.204.178.8:345/132.php?id=testaec
Astro QJ测试,http://154.204.178.8:345/132.php?id=testqj
Channel 5 测试,http://154.204.178.8:345/132.php?id=testchannel5
Channel 8 测试,http://154.204.178.8:345/132.php?id=testchannel8
SPOTV 测试,http://154.204.178.8:345/132.php?id=testsportv
SPOTV 2 测试,http://154.204.178.8:345/132.php?id=testspotv2
大湾区卫视,http://154.204.178.8:345/132.php?id=testdwqws

湖南卫视,http://154.204.178.8:345/132.php?id=hunan
浙江卫视,http://154.204.178.8:345/132.php?id=zhejiang
东方卫视,http://154.204.178.8:345/132.php?id=dongfang
江苏卫视,http://154.204.178.8:345/132.php?id=jiangsu
北京卫视,http://154.204.178.8:345/132.php?id=beijing
深圳卫视,http://154.204.178.8:345/132.php?id=shenzhen
广东卫视,http://154.204.178.8:345/132.php?id=guangdong
大湾区卫视,http://154.204.178.8:345/132.php?id=gdwqws
重庆卫视,http://154.204.178.8:345/132.php?id=chongqing
东南卫视,http://154.204.178.8:345/132.php?id=dongnan
广西卫视,http://154.204.178.8:345/132.php?id=guangxi
贵州卫视,http://154.204.178.8:345/132.php?id=guizhou
海南卫视,http://154.204.178.8:345/132.php?id=hainan
河北卫视,http://154.204.178.8:345/132.php?id=hebei
黑龙江卫视,http://154.204.178.8:345/132.php?id=heilongjiang
湖北卫视,http://154.204.178.8:345/132.php?id=hubei
江西卫视,http://154.204.178.8:345/132.php?id=jiangxi
吉林卫视,http://154.204.178.8:345/132.php?id=jilin
辽宁卫视,http://154.204.178.8:345/132.php?id=liaoning
内蒙古卫视,http://154.204.178.8:345/132.php?id=neimenggu
宁夏卫视,http://154.204.178.8:345/132.php?id=ningxia
陕西卫视,http://154.204.178.8:345/132.php?id=shaanxi
山东卫视,http://154.204.178.8:345/132.php?id=shandong
山西卫视,http://154.204.178.8:345/132.php?id=shanxi
四川卫视,http://154.204.178.8:345/132.php?id=sichuan
天津卫视,http://154.204.178.8:345/132.php?id=tianjin
厦门卫视,http://154.204.178.8:345/132.php?id=xiamen
新疆卫视,http://154.204.178.8:345/132.php?id=xinjiang
西藏卫视,http://154.204.178.8:345/132.php?id=xizang
云南卫视,http://154.204.178.8:345/132.php?id=yunnan
安徽卫视,http://154.204.178.8:345/132.php?id=anhui
河南卫视,http://154.204.178.8:345/132.php?id=henan
青海卫视,http://154.204.178.8:345/132.php?id=qinghai
甘肃卫视,http://154.204.178.8:345/132.php?id=gansu

上海都市,http://154.204.178.8:345/132.php?id=shds
上海新闻,http://154.204.178.8:345/132.php?id=shxw
五星体育,http://154.204.178.8:345/132.php?id=wxty
劲爆体育,http://154.204.178.8:345/132.php?id=jbty
广东体育,http://154.204.178.8:345/132.php?id=gdty
第一财经,http://154.204.178.8:345/132.php?id=yicai
辽宁体育,http://154.204.178.8:345/132.php?id=lnty
天津体育,http://154.204.178.8:345/132.php?id=tjty
广东珠江,http://154.204.178.8:345/132.php?id=gdzj
河南梨园,http://154.204.178.8:345/132.php?id=hnly
辽宁都市,http://154.204.178.8:345/132.php?id=lnds
辽宁影视,http://154.204.178.8:345/132.php?id=lnys
黑龙江都市,http://154.204.178.8:345/132.php?id=hljds
广州综合,http://154.204.178.8:345/132.php?id=gzzh
广州影视,http://154.204.178.8:345/132.php?id=gzys
广州竞赛,http://154.204.178.8:345/132.php?id=gzjs
广东影视,http://154.204.178.8:345/132.php?id=gdys
广东新闻,http://154.204.178.8:345/132.php?id=gdxw
广东民生,http://154.204.178.8:345/132.php?id=gdms
广东少儿,http://154.204.178.8:345/132.php?id=gdse

迪士尼频道,http://154.204.178.8:345/132.php?id=disney
Animax 卡通,http://154.204.178.8:345/132.php?id=animax-cartoon
DreamWorks 梦工厂动画,http://154.204.178.8:345/132.php?id=dreamworks
小尼克频道,http://154.204.178.8:345/132.php?id=nick-jr
尼克儿童频道,http://154.204.178.8:345/132.php?id=nickelodeon
MOMO 亲子台,http://154.204.178.8:345/132.php?id=momo-kids
东森幼幼台,http://154.204.178.8:345/132.php?id=ebc-yoyo
CN卡通,http://154.204.178.8:345/132.php?id=cn-cartoon
靖天卡通台,http://154.204.178.8:345/132.php?id=jtkt
靖天育乐台,http://154.204.178.8:345/132.php?id=jtyl
i-Fun 动漫台,http://154.204.178.8:345/132.php?id=i-fun
ELTV生活英語台,http://154.204.178.8:345/132.php?id=eltv
Boomerang HD,http://154.204.178.8:345/132.php?id=boomerang-hd
靖洋卡通 NiceBingo,http://154.204.178.8:345/132.php?id=nice-bingo
达文西频道,http://154.204.178.8:345/132.php?id=da-vinci

探索频道,http://154.204.178.8:345/132.php?id=discovery
探索科学频道,http://154.204.178.8:345/132.php?id=discovery-sci
探索亚洲频道,http://154.204.178.8:345/132.php?id=discovery-asia
DMAX,http://154.204.178.8:345/132.php?id=dmax
History 频道,http://154.204.178.8:345/132.php?id=history
History-2 频道,http://154.204.178.8:345/132.php?id=history-2
Love Nature,http://154.204.178.8:345/132.php?id=love-nature
国家地理 野生频道,http://154.204.178.8:345/132.php?id=natgeo-wild
民视旅游,http://154.204.178.8:345/132.php?id=ftv-travel
美食星球频道,http://154.204.178.8:345/132.php?id=food-planet
EYE 旅游台,http://154.204.178.8:345/132.php?id=eye-travel
ELTA 生活旅游台,http://154.204.178.8:345/132.php?id=elta-lifetravel
车迷TV,http://154.204.178.8:345/132.php?id=motorvision
动物星球频道,http://154.204.178.8:345/132.php?id=animal-planet
TLC 旅游生活頻道,http://154.204.178.8:345/132.php?id=tlc
亚洲旅游台,http://154.204.178.8:345/132.php?id=asia-travel
Asian Food Network,http://154.204.178.8:345/132.php?id=asian-food-network
CI 罪案侦查频道,http://154.204.178.8:345/132.php?id=ci
